condition,bank,n,n_objective,n_open,objective_accuracy,halluc_proxy_rate,open_rougeL,open_token_f1,latency_median_s,open_bertscore,judge_correctness,judge_faithfulness,retrieval_top1_correct_bank
baseline,HSBC,100,80,20,0.2125,0.7875,0.1772,0.3025,0.615,0.8372,1.7,,
baseline,Lloyds,100,80,20,0.2,0.7875,0.1775,0.3091,0.595,0.8358,1.6,,
baseline,NatWest,100,80,20,0.25,0.7125,0.1722,0.3029,0.54,0.8366,1.75,,
rag,HSBC,100,80,20,0.625,0.3375,0.2432,0.3715,5.135,0.859,2.75,4.1,1.0
rag,Lloyds,100,80,20,0.625,0.3625,0.2901,0.4031,5.89,0.8611,3.15,4.02,1.0
rag,NatWest,100,80,20,0.675,0.2875,0.2449,0.3702,5.825,0.861,3.05,4.18,1.0
finetuned,HSBC,100,80,20,0.2,0.8,0.2111,0.3753,1.085,0.8684,1.65,,
finetuned,Lloyds,100,80,20,0.3375,0.6625,0.225,0.3867,1.11,0.8734,1.8,,
finetuned,NatWest,100,80,20,0.2875,0.7125,0.2275,0.3824,1.13,0.8756,1.4,,
hybrid,HSBC,100,80,20,0.6125,0.3875,0.245,0.4224,6.115,0.8672,2.9,3.92,1.0
hybrid,Lloyds,100,80,20,0.675,0.325,0.3185,0.4576,6.93,0.8804,3.25,4.0,1.0
hybrid,NatWest,100,80,20,0.7,0.3,0.2459,0.3831,6.84,0.8668,3.15,4.02,1.0
